current_belt;gender;reasons
brown belt;Male;[it is effective]
blue belt;Female;[become more confident,try somethig new / change]
purple belt;Male;[mma]
blue belt;Female;[anger management,health,mental health,try somethig new / change,work]
blue belt;Male;[ufc]
blue belt;Male;[just wanted to try,tired of being hurt in another sport,ufc]
blue belt;Female;[bad relationship,self defense]
blue belt;Female;[no answer]
white belt;Male;[curiosity,grappled  / wrestled before]
white belt;Male;[fitness,get in shape,love from the first roll]
blue belt;Male;[get in shape]
purple belt;Male;[no answer]
blue belt;Female;[helps with / transitioned from judo]
black belt;Male;[friend]
brown belt;Male;[instructor / black belt]
blue belt;Male;[no answer]
purple belt;Male;[mma]
blue belt;Male;[health,improve groundwork,love from the first roll,mma]
blue belt;Female;[get in shape]
blue belt;Male;[control of your opponent]
brown belt;Male;[ufc]
black belt;Male;[famous bjj athlete,learn how to fight,ufc]
blue belt;Male;[fitness,learn how to fight,mma]
black belt;Male;[no answer]
blue belt;Male;[no answer]
purple belt;Male;[famous bjj athlete,grappled  / wrestled before,improve submissions,ufc]
white belt;Male;[friend]
no rank;Male;[fitness,helps with / transitioned from judo]
brown belt;Male;[wanted to compete]
blue belt;Male;[wanted to compete]
blue belt;Male;[fun]
white belt;Male;[self defense,ufc]
brown belt;Male;[love from the first roll,mma]
purple belt;Male;[famous bjj athlete]
no rank;Male;[no answer]
no rank;Male;[no answer]
blue belt;Male;[family,grappled  / wrestled before,self defense]
black belt;Male;[no answer]
purple belt;Female;[get in shape,self defense]
blue belt;Female;[love from the first roll]
blue belt;Female;[no answer]
white belt;Male;[it is effective]
white belt;Female;[fun]
blue belt;Female;[instructor / black belt,just wanted to try,partner]
no rank;Male;[become a more rounded fighter,mma]
no rank;Female;[self defense]
blue belt;Male;[friend,mma,try somethig new / change]
white belt;Male;[develop discipline,needed a challenge]
blue belt;Male;[try somethig new / change]
white belt;Female;[just wanted to try,love from the first roll]
white belt;Male;[no answer]
blue belt;Male;[mma]
white belt;Male;[ufc]
brown belt;Male;[helps with / transitioned from judo]
brown belt;Male;[ufc]
white belt;Male;[no answer]
purple belt;Male;[fitness,get in shape]
blue belt;Male;[no answer]
brown belt;Male;[fitness,just wanted to try]
white belt;Male;[improve groundwork]
white belt;Male;[mma]
white belt;Male;[try somethig new / change]
brown belt;Male;[health]
white belt;Male;[improve submissions,mma]
purple belt;Male;[useful for job (police / army)]
purple belt;Male;[no answer]
no answer;Male;[become a more rounded fighter,just wanted to try]
blue belt;Male;[it is effective]
white belt;Male;[no answer]
purple belt;Male;[get in shape]
white belt;Male;[mental health]
white belt;Male;[curiosity,fitness,work]
white belt;Male;[self defense,wanted to compete]
purple belt;Male;[fitness]
white belt;Male;[tired of being hurt in another sport]
white belt;Male;[grappled  / wrestled before,self defense]
white belt;Male;[health]
white belt;Male;[mma]
purple belt;Male;[ufc]
blue belt;Male;[ufc]
white belt;Female;[just wanted to try]
black belt;Male;[family,friend,try somethig new / change]
white belt;Male;[friend,mma]
no rank;Male;[ufc]
white belt;Male;[love from the first roll]
purple belt;Male;[curiosity,needed a challenge]
blue belt;Male;[no answer]
blue belt;Male;[fitness]
white belt;Male;[friend]
white belt;Male;[work]
blue belt;Male;[no answer]
black belt;Male;[mma]
blue belt;Male;[fitness,grappled  / wrestled before]
white belt;Male;[no answer]
brown belt;Male;[friend]
white belt;Female;[no answer]
white belt;Male;[friend]
black belt;Male;[curiosity,improve submissions]
white belt;Male;[get in shape]
blue belt;Male;[helps with / transitioned from judo,improve groundwork,work]
blue belt;Male;[improve groundwork]
brown belt;Male;[family,mental health]
blue belt;Male;[no answer]
brown belt;Male;[family,grappled  / wrestled before]
blue belt;Male;[self defense]
purple belt;Female;[fitness,fun]
purple belt;Male;[no answer]
blue belt;Male;[fun]
purple belt;Male;[something I was doing before closed down]
purple belt;Male;[try somethig new / change]
blue belt;Male;[grappled  / wrestled before,mma,ufc,useful for job (police / army)]
blue belt;Female;[no answer]
purple belt;Male;[ufc]
brown belt;Male;[instructor / black belt]
blue belt;Male;[family,friend,grappled  / wrestled before,love from the first roll,try somethig new / change]
brown belt;Male;[no answer]
brown belt;Male;[get in shape]
blue belt;Male;[it is effective]
blue belt;Male;[try somethig new / change]
white belt;Male;[fun]
white belt;Male;[family]
purple belt;Male;[friend,love from the first roll]
purple belt;Male;[learn how to fight,self defense]
blue belt;Male;[curiosity,friend]
blue belt;Male;[family]
blue belt;Male;[it is effective,self defense]
black belt;Male;[just wanted to try,try somethig new / change,ufc]
white belt;Male;[become more confident,fitness]
blue belt;Male;[no answer]
blue belt;Male;[get in shape,to kick ass]
blue belt;Male;[no answer]
black belt;Male;[famous bjj athlete,love from the first roll,ufc]
white belt;Female;[improve groundwork]
brown belt;Male;[famous bjj athlete,try somethig new / change,ufc]
brown belt;Male;[family,health,self defense]
brown belt;Male;[fitness,friend,fun,helps with / transitioned from judo,love from the first roll,mma]
white belt;Male;[ufc]
white belt;Female;[just wanted to try,love from the first roll]
white belt;Male;[fitness,self defense]
white belt;Male;[no answer]
white belt;Male;[wanted to compete]
blue belt;Male;[just wanted to try,try somethig new / change]
blue belt;Male;[fun]
blue belt;Male;[fitness,self defense]
black belt;Male;[famous bjj athlete,ufc]
white belt;Male;[no answer]
white belt;Male;[family,needed a challenge]
no rank;Male;[family,grappled  / wrestled before,helps with / transitioned from judo,mma]
purple belt;Female;[fun,grappled  / wrestled before]
blue belt;Male;[friend]
blue belt;Male;[get in shape]
black belt;Male;[just wanted to try]
brown belt;Male;[learn how to fight]
purple belt;Male;[no answer]
purple belt;Male;[grappled  / wrestled before,useful for job (police / army)]
black belt;Male;[just wanted to try]
white belt;no answer;[no answer]
purple belt;Female;[fitness,fun]
black belt;Male;[no answer]
blue belt;Male;[mma]
purple belt;Male;[famous bjj athlete]
purple belt;Male;[ufc]
blue belt;Male;[mma]
blue belt;Male;[learn how to fight,self defense,small people can do it]
white belt;Male;[fitness,ufc]
white belt;Male;[just wanted to try]
white belt;Male;[improve groundwork,mma]
blue belt;Male;[no answer]
purple belt;Male;[fun]
blue belt;Male;[grappled  / wrestled before]
white belt;Female;[friend]
brown belt;Male;[fitness,grappled  / wrestled before,improve submissions,love from the first roll]
no rank;Male;[health]
blue belt;Male;[fun]
white belt;Male;[fitness]
white belt;Female;[just wanted to try]
white belt;Female;[become more peaceful,fitness,get in shape,push my limits]
white belt;Male;[no answer]
brown belt;Male;[mma]
white belt;Male;[improve submissions,love from the first roll,mma]
white belt;Male;[no answer]
blue belt;Male;[fitness,try somethig new / change]
white belt;Male;[it is effective,mental health,needed a challenge]
brown belt;Male;[ufc]
blue belt;Male;[famous bjj athlete,friend,it is effective,love from the first roll,ufc]
