current_belt;gender;gi
black belt;Male;[atama,buffalo combat,tuff fightwear]
white belt;Male;[no answer]
blue belt;Male;[no answer]
blue belt;Male;[fuji]
brown belt;Male;[tatami]
blue belt;Male;[no answer]
brown belt;Male;[koral]
blue belt;Male;[hypnotic,vulkan]
purple belt;Female;[atama,moka hardware]
purple belt;Male;[93 brand,fuji]
blue belt;Male;[vulkan]
purple belt;Male;[grips,kingz,storm,tatami]
purple belt;Male;[shoyoroll]
blue belt;Male;[keiko,rios gear,tatami]
blue belt;Female;[no answer]
purple belt;Male;[kingz,scramble]
brown belt;Male;[ouano,scramble,tatami]
blue belt;Male;[tatami,venum]
brown belt;Male;[no answer]
brown belt;Male;[fuji]
blue belt;Male;[tatami]
blue belt;Male;[atama,grips,hyperfly]
white belt;Male;[no answer]
white belt;Male;[tatami]
purple belt;Male;[atama,hayabusa,tatami]
purple belt;Male;[atama,fuji]
blue belt;Male;[atama,manto,storm]
blue belt;Male;[kingz,ouano,tatami]
blue belt;Male;[atama]
black belt;Male;[fuji]
white belt;Male;[no answer]
blue belt;Male;[jotunn,shoyoroll]
blue belt;Male;[ouano]
blue belt;Male;[keiko,keiko raca,senor kimonos]
black belt;Male;[atama,manto,shoyoroll]
white belt;Female;[academy / tournaments]
brown belt;Male;[datsusara,dragao kimonos]
brown belt;Male;[anything]
brown belt;Male;[fuji,mizuno,scartissue]
white belt;Male;[shoyoroll]
white belt;Female;[no answer]
white belt;Male;[fuji]
white belt;Male;[tatami]
white belt;Male;[shoyoroll,tatami]
blue belt;Male;[no answer]
blue belt;Male;[no answer]
blue belt;Male;[no answer]
black belt;Male;[no answer]
white belt;Male;[no answer]
white belt;Male;[progress]
no rank;Male;[manto]
purple belt;Female;[fusion,tatami]
blue belt;Male;[budo,tatami]
blue belt;Male;[gameness,submission sniper,tatami,xguard]
black belt;Male;[no answer]
brown belt;Male;[atama]
purple belt;Male;[no answer]
purple belt;Male;[do or die,gameness,keiko,shoyoroll]
black belt;Male;[no answer]
white belt;no answer;[no answer]
purple belt;Female;[toro]
black belt;Male;[origin]
blue belt;Male;[atama]
purple belt;Male;[kingz,ronin brank kimonos]
purple belt;Male;[no answer]
blue belt;Male;[no answer]
blue belt;Male;[93 brand,fuji,sanabul]
white belt;Male;[no answer]
white belt;Male;[venum]
white belt;Male;[anything]
blue belt;Male;[no answer]
purple belt;Male;[brazil combat,hayabusa]
blue belt;Male;[kingz]
white belt;Female;[warrior kimonos]
brown belt;Male;[bad boy,fuji]
no rank;Male;[hayabusa]
blue belt;Male;[no answer]
white belt;Male;[vambora fight gear]
white belt;Female;[kingz]
white belt;Female;[bamboo,tatami]
white belt;Male;[no answer]
brown belt;Male;[gameness,lucky gi]
white belt;Male;[no answer]
white belt;Male;[fuji,hayabusa,storm]
blue belt;Male;[shoyoroll]
white belt;Male;[93 brand,lanky fightgear]
brown belt;Male;[tatami]
blue belt;Male;[lucky gi,origin,shoyoroll]
purple belt;Male;[tatami]
blue belt;Male;[atama]
brown belt;Male;[no answer]
blue belt;Male;[bad boy]
white belt;Male;[adidas]
white belt;Male;[tatami,venum]
no answer;no answer;[no answer]
blue belt;Male;[toraki,toro]
white belt;Female;[no answer]
white belt;Female;[bc kimonos]
purple belt;Male;[fuji,grips,tatami]
white belt;Male;[manto,origin]
blue belt;Male;[datsusara]
white belt;Male;[fuji,venum]
white belt;Male;[93 brand,warrior kimonos]
purple belt;Male;[koral]
blue belt;Female;[tatami]
no answer;no answer;[no answer]
blue belt;Male;[no answer]
purple belt;Male;[gameness,ronin brank kimonos]
no answer;Male;[no answer]
blue belt;Male;[kingz]
purple belt;Male;[no answer]
purple belt;Male;[atama,tatami]
no answer;Male;[no answer]
no answer;Male;[no answer]
no answer;Female;[no answer]
no answer;Male;[no answer]
no answer;Male;[no answer]
no answer;Male;[no answer]
black belt;Male;[no answer]
no answer;Male;[no answer]
no answer;Male;[no answer]
no answer;no answer;[no answer]
no answer;Male;[no answer]
no rank;Male;[no answer]
no answer;no answer;[no answer]
no answer;Female;[no answer]
no answer;Male;[no answer]
white belt;Male;[reevo]
