current_belt;gender;athletes
blue belt;Male;['Leandro Lo', 'Marcelo Garcia']
blue belt;Male;['no answer']
blue belt;Male;['Leandro Lo', 'Mendes Bros', 'Rodoflo Viera']
blue belt;Male;['no answer']
black belt;Male;['Kurt Osiander', 'Leandro Lo', 'Murilo Bustamante', 'Royce Gracie']
purple belt;Male;['no answer']
white belt;Male;"['Romero ""Jacare"" Cavalcanti', 'Ronaldo ""Jacare"" Souza']"
white belt;Male;['Kron Gracie', 'Leandro Lo', 'Marcelo Garcia']
white belt;Male;['no answer']
white belt;Male;['Garry Tonon']
purple belt;Male;"['André Galvão', 'Garry Tonon', 'Leandro Lo', 'Marcelo Garcia', 'Romero ""Jacare"" Cavalcanti']"
purple belt;Male;['no answer']
black belt;Male;['no answer']
white belt;Male;['Christian Graugart', 'Garry Tonon', 'Glover Teixeira', 'Jeff Glover', 'Leandro Lo']
purple belt;Male;['Leandro Lo', 'Marcelo Garcia']
blue belt;Male;['no answer']
white belt;Female;['no answer']
white belt;Male;['Tom Brady']
brown belt;Male;['Leandro Lo', 'Saulo Ribeiro']
no answer;Male;['Travis Stevens']
blue belt;Female;['no answer']
purple belt;Male;['Bernardo Faria', 'Marcus Buchecha', 'Leandro Lo', 'Saulo Ribeiro', 'Xande Ribeiro']
blue belt;Male;['Marcus Buchecha', 'Leandro Lo', 'Marcelo Garcia']
white belt;Male;['no answer']
black belt;Male;['Mr. Miyagi']
black belt;Male;"['Leandro Lo', 'Leonardo ""Leozinho"" Vieira', 'Marcelo Garcia', 'Rafael Lovato Jr.', 'Rafael Mendes', 'Saulo Ribeiro', 'Fernando ""Terere"" Augusto']"
white belt;Male;['Kobe Bryant', 'Lebron James']
white belt;Male;['Demian Maia', 'Eddie Bravo', 'Hannette Staack']
white belt;Male;['no answer']
white belt;Male;['no answer']
black belt;Male;['no answer']
white belt;Male;['Keenan Cornelius', 'Leandro Lo', 'Romulo Barral', 'Ryan Hall']
black belt;Male;['no answer']
blue belt;Male;['Eddie Bravo', 'Eddie Cummings', 'Garry Tonon', 'Leandro Lo', 'Marcelo Garcia', 'Ryan Hall']
purple belt;Male;['Rickson Gracie', 'Royler Gracie']
blue belt;Male;['Leandro Lo', 'Marcelo Garcia']
blue belt;Male;['Leandro Lo', 'Marcelo Garcia', 'Rodoflo Viera', 'Saulo Ribeiro']
purple belt;Male;['no answer']
white belt;Male;['Aleksander Karelin', 'Leandro Lo', 'Marcelo Garcia']
purple belt;Male;['Matheus Diniz']
purple belt;Male;['Demian Maia']
blue belt;Male;"['Garry Tonon', 'Mackenzie Dern', 'Roberto ""Cyborg"" Abreu', 'Xande Ribeiro']"
blue belt;Male;['no answer']
purple belt;Male;['Eddie Cummings', 'Garry Tonon', 'Leandro Lo', 'Lucas Lepri']
purple belt;Male;['Lucas Lepri', 'Rodoflo Viera', 'Xande Ribeiro']
white belt;Male;['no answer']
white belt;Male;['Eddie Cummings', 'Garry Tonon', 'Keenan Cornelius', 'Leandro Lo', 'Marcelo Garcia']
blue belt;Male;['Dean Lister', 'Josh Barnett']
black belt;Male;['no answer']
no rank;Male;"['André Galvão', 'Glover Teixeira', 'Keenan Cornelius', 'Leandro Lo', 'Mackenzie Dern', 'Miyao Brothers', 'Oliver ""Oli"" Geddes']"
purple belt;Male;['Garry Tonon', 'Leandro Lo', 'Marcelo Garcia', 'Ryan Hall']
purple belt;Male;['no answer']
purple belt;Male;['Bruno Malfacine', 'Keenan Cornelius']
blue belt;Male;['no answer']
blue belt;Male;"['Antônio Rodrigo Nogueira ""Minotauro""', 'Shinya Aoki', 'Demian Maia', 'Kazushi Sakuraba', 'Kron Gracie', 'Leandro Lo', 'Marcelo Garcia', 'Renzo Gracie']"
purple belt;Male;['no answer']
purple belt;Male;['no answer']
purple belt;Male;['no answer']
brown belt;Male;['Rickson Gracie']
brown belt;Male;['Keenan Cornelius', 'Mendes Bros', 'Rafael Mendes']
white belt;Male;['no answer']
purple belt;Male;['Keenan Cornelius', 'Leandro Lo', 'Marcelo Garcia', 'Ryan Hall']
blue belt;Male;['no answer']
blue belt;Male;['no answer']
purple belt;Female;"['Michelle Nicollini', 'Oliver ""Oli"" Geddes', 'Tammi Musumeci']"
black belt;Male;['Rafael Mendes', 'Roger Gracie']
blue belt;Male;['no answer']
brown belt;Male;['André Galvão', 'Daniel Beleza', 'Garry Tonon', 'Leandro Lo', 'Marcelo Garcia', 'Mendes Bros', 'Rafael Mendes']
blue belt;Male;"['Leandro Lo', 'Rafael Lovato Jr.', 'Renzo Gracie', 'Royce Gracie', 'Fernando ""Terere"" Augusto']"
no rank;Male;['Eddie Cummings']
blue belt;Male;['Leandro Lo', 'Marcelo Garcia', 'Robson Moura']
purple belt;Male;['Glover Teixeira', 'Jeff Glover', 'Kron Gracie', 'Leandro Lo', 'Marcelo Garcia']
purple belt;Male;['no answer']
purple belt;Male;['Keenan Cornelius']
brown belt;Male;['Leandro Lo', 'Marcelo Garcia', 'Saulo Ribeiro']
blue belt;Male;['Bernardo Faria', 'Leandro Lo', 'Marcelo Garcia', 'Rodoflo Viera']
brown belt;Male;['no answer']
black belt;Male;['no answer']
blue belt;Male;['Bernardo Faria', 'Marcus Buchecha']
purple belt;Male;['Marcus Buchecha', 'Demian Maia', 'Leandro Lo', 'Marcelo Garcia', 'Xande Ribeiro']
purple belt;Male;['no answer']
black belt;Male;['no answer']
black belt;Male;['Marcus Buchecha', 'Roger Gracie']
white belt;Male;['Leandro Lo', 'Marcelo Garcia']
blue belt;Male;['Leandro Lo', 'Marcelo Garcia']
brown belt;Male;['no answer']
blue belt;Male;['no answer']
black belt;Male;['no answer']
white belt;Male;['no answer']
white belt;Male;['André Galvão', 'Eddie Bravo', 'Leandro Lo', 'Marcelo Garcia', 'Ryron Gracie', 'Tim Kennedy']
blue belt;Male;['Leandro Lo', 'Marcelo Garcia', 'Rickson Gracie']
blue belt;Male;['Leandro Lo', 'Marcelo Garcia', 'Miyao Brothers']
blue belt;Male;['Miyao Brothers']
white belt;Male;['Kurt Osiander', 'Leandro Lo']
black belt;Male;"['Marcus Buchecha', 'Eduardo Telles', 'Roberto ""Cyborg"" Abreu', 'Roger Gracie', 'Romero ""Jacare"" Cavalcanti']"
purple belt;Male;['Eduardo Telles', 'Enson Inoue', 'Garry Tonon', 'Kazushi Sakuraba', 'Leandro Lo', 'Marcelo Garcia']
brown belt;Female;['no answer']
blue belt;Female;"['Garry Tonon', 'Glover Teixeira', 'Jeff Glover', 'Leandro Lo', 'Marcelo Garcia', 'Michelle Nicollini', 'Oliver ""Oli"" Geddes']"
black belt;Male;['no answer']
white belt;Male;['no answer']
blue belt;Male;['no answer']
blue belt;Male;"['Romero ""Jacare"" Cavalcanti']"
white belt;Male;['Genki Sudo', 'Leandro Lo', 'Marcelo Garcia', 'Ryan Hall']
brown belt;Male;['André Galvão', 'Leandro Lo', 'Marcelo Garcia']
black belt;Male;"['Braulio Estima', 'Marcus Buchecha', 'Rodrigo Comprido Medeiros', 'Rubens ""Cobrinha"" Charles']"
blue belt;Male;['no answer']
blue belt;Male;['no answer']
white belt;Male;['Leandro Lo', 'Marcelo Garcia', 'Vanderson Gomez']
black belt;Female;['no answer']
purple belt;Male;['Leandro Lo', 'Marcelo Garcia', 'Saulo Ribeiro']
purple belt;Male;['Braulio Estima', 'Clark Gracie', 'Keenan Cornelius']
white belt;Male;['Demian Maia']
blue belt;Male;['Demian Maia', 'Kron Gracie', 'Leandro Lo', 'Marcelo Garcia', 'Rickson Gracie']
white belt;Female;['Kron Gracie']
brown belt;Male;['Leandro Lo']
blue belt;Female;"['Mackenzie Dern', 'Michelle Nicollini', 'Oliver ""Oli"" Geddes']"
purple belt;Male;['Bernardo Faria', 'Dillon Danis', 'Dominyka Obelenyte', 'Gianni Grippo', 'Jon Satava', 'Leandro Lo', 'Mansher Khera', 'Marcos Tinoco', 'Matheus Diniz']
blue belt;Female;['Demian Maia', 'Dominyka Obelenyte', 'Felicia Oh', 'Gezary Matuda']
blue belt;Male;['Leandro Lo', 'Marcelo Garcia', 'Marcelo Mattos']
blue belt;Male;['no answer']
blue belt;Female;['no answer']
blue belt;Female;['Leandro Lo', 'Leticia Ribeiro', 'Marcelo Garcia']
