current_belt;gender;least_favourite
blue belt;Male;people who don't train hard
blue belt;Male;white belt dudes
purple belt;Male;recovery
blue belt;Male;I like everything
purple belt;Male;laundry
blue belt;Male;cardio
brown belt;Male;injuries
brown belt;Male;white belt dudes
white belt;Male;I like everything
brown belt;Male;smell / poor hygiene
white belt;Male;laundry
white belt;Male;injuries
purple belt;Male;getting beat up
white belt;Female;injuries
purple belt;Male;injuries
blue belt;Male;warm ups
brown belt;Male;warm ups
purple belt;Male;talking instead of working
white belt;Male;injuries
white belt;Male;lack of curriculum
white belt;Male;injuries
white belt;Male;I like everything
purple belt;Male;waiting
brown belt;Male;injuries
white belt;Female;sweat
purple belt;Male;skin infections
brown belt;Male;plateaus
white belt;Male;injuries
white belt;Male;plateaus
black belt;Male;warm ups
blue belt;Male;warm ups
blue belt;Male;judo
purple belt;Male;getting crushed
purple belt;Male;drills
purple belt;Male;people who don't train hard
blue belt;Female;injuries
white belt;Female;warm ups
white belt;Male;white belt dudes
no rank;Male;getting up
blue belt;Male;warm ups
white belt;Male;I like everything
blue belt;Male;rolling
white belt;Male;agressive people
white belt;Male;injuries
white belt;Male;I like everything
blue belt;Male;classes too short
blue belt;Male;summer when it is super hot
white belt;Male;rolling
white belt;Female;time commitment
blue belt;Male;I like everything
white belt;Male;I like everything
blue belt;Male;being put in the spotlight
purple belt;Male;drills
black belt;Male;instruction
purple belt;Male;injuries
blue belt;Female;sweat
blue belt;Male;injuries
blue belt;Male;sweat
purple belt;Male;crab walks
